ID,Site,Location,Deployment_Date,Deployment_DTW_btoc,Sample_Date,Sample_Depth_btoc,Sampling_DTW_btoc,New_Bag_Deployed,Notes,
1,Background,BWL005PZ,2/6/2020,51.93,8/13/2020,88,51.84,Y,,
2,CG041-010,10C003MW,7/10/2019,38.01,8/20/2020,44,37.73,Y,,
3,CG041-010,10C006MW,7/15/2019,57.47,8/19/2020,99.45,56.93,Y,,
4,CG041-010,10C007MW,7/15/2019,54,8/19/2020,119.31,53.26,Y,,
5,CG041-010,10C009MW,7/15/2019,48.11,8/19/2020,49.85,47.35,Y,,
6,CG041-010,10C017AMW,7/10/2019,29.97,8/19/2020,49.59,29.48,Y,,
7,CG041-010,10C017BMW,7/10/2019,35.02,8/19/2020,89.68,33.95,Y,,
8,CG041-010,10C019AMW,7/15/2019,88,8/19/2020,119.25,82.8,Y,,
9,CG041-010,10C019BMW,7/15/2019,57.7,8/19/2020,153.48,57.03,Y,,
10,CG041-010,10C021BMW,7/15/2019,25.41,8/19/2020,113.6,24.35,Y,,
11,CG041-010,10C027MW,7/10/2019,50.8,8/20/2020,69.39,50.15,Y,,
12,CG041-010,10C028MW,7/10/2019,28.41,8/19/2020,39.18,27.97,Y,,
13,CG041-010,10C029MW,7/10/2019,26.09,8/19/2020,43,26.42,Y,,
14,CG041-010,10C035RW,7/10/2019,49.42,8/20/2020,56,48.9,Y,,
15,CG041-010,10C040RW,7/10/2019,42.29,8/20/2020,44.3,41.72,Y,,
16,CG041-010,10C041RW,8/8/2019,37.69,8/28/2020,55,31.16,Y,,
17,CG041-010,10C045RW,7/10/2019,46.73,8/20/2020,56,46.2,Y,,
18,CG041-010,10C050RW,7/10/2019,29.07,8/20/2020,43,28.6,Y,,
19,CG041-010,10C051RW,7/10/2019,35.28,8/20/2020,48,34.63,Y,,
20,CG041-010,10C054RW,7/10/2019,33.95,8/20/2020,52.5,33.5,Y,,
21,CG041-010,10C055RW,7/10/2019,28.82,8/20/2020,55,28.34,Y,,
22,CG041-010,10C070RW,7/10/2018,NR,8/20/2020,40.91,31.49,Y,,
23,CG041-010,10C071MW,7/11/2018,NR,8/19/2020,79.98,60.6,Y,,
24,CG041-010,10M004MW,7/10/2019,39.41,8/20/2020,46,49.21,Y,,
25,CG041-010,10M007MW-R,8/8/2019,26.28,8/19/2020,45,26.88,Y,,
26,CG041-010,10R003MW,7/10/2019,24.57,8/19/2020,29.1,24.09,Y,,
27,CG041-010,10R004MW,7/15/2019,67.03,2/7/2020,71,66.66,Y,,
28,CG041-010,10R004MW,2/7/2020,67.87,8/19/2020,71,66.81,Y,,
29,CG041-010,10R005MW,7/15/2019,73.32,8/19/2020,77.5,72.82,Y,,
30,CG044-013,13C045MW,8/2/2019,27.77,2/20/2020,176.58,26.06,Y,,
31,CG044-013,13C054MW,8/2/2019,24,2/20/2020,250.14,21.96,Y,,
32,CG044-013,13C090AMW,7/24/2019,28.23,2/20/2020,56.15,27.71,Y,,
33,CG044-013,13C090BMW,7/24/2019,28.95,2/20/2020,100.88,27.85,Y,,
34,CG044-013,13C103MW,8/2/2019,24.04,2/20/2020,95,22.73,Y,,
35,CG044-013,13C104MW,8/2/2019,26.89,2/20/2020,105,25.23,Y,,
36,CG044-013,13C105MW,7/26/2019,23.74,2/20/2020,198,20.99,Y,,
37,CG044-013,13C106MW,7/26/2019,23.36,2/20/2020,250,21.1,Y,,
38,CG044-013,13L029MW,7/24/2019,30.38,2/20/2020,100.5,29.12,Y,,
39,CG041-017,17C009MW,8/1/2019,45.64,9/4/2020,48,46.31,Y,,
40,CG041-017,17C010MW,8/1/2019,62.71,9/4/2020,70,63.21,Y,,
41,CG041-017,17C015AMW,7/30/2019,12.93,2/17/2020,13.5,8.18,Y,,
